date,key_change,taux,x_vers_euro
2022-11-03,USD,0.9753,1.0253255408592228
2022-11-03,JPY,144.58,0.006916585973163645
2022-11-02,USD,0.9908,1.0092854259184498
2022-11-02,JPY,145.75,0.00686106346483705
2022-11-01,USD,0.9947,1.0053282396702523
2022-11-01,JPY,146.35,0.006832934745473181
2022-10-31,USD,0.9914,1.0086746015735324
2022-10-31,JPY,147.4,0.006784260515603799
2022-10-28,USD,0.9951,1.0049241282283188
2022-10-28,JPY,146.79,0.006812453164384495
2022-10-27,USD,1.0037,0.9963136395337252
2022-10-27,JPY,147.37,0.006785641582411617
2022-10-26,USD,1.0023,0.9977052778609199
2022-10-26,JPY,147.32,0.006787944610371979
2022-10-25,USD,0.9861,1.0140959334753068
2022-10-25,JPY,146.84,0.006810133478616181
2022-10-24,USD,0.9851,1.015125367982946
2022-10-24,JPY,146.76,0.006813845734532571
2022-10-21,USD,0.973,1.027749229188078
2022-10-21,JPY,147.59,0.006775526797208483
2022-10-20,USD,0.9811,1.0192640913260627
2022-10-20,JPY,146.99,0.006803183890060548
2022-10-19,USD,0.9778,1.022704029453876
2022-10-19,JPY,146.34,0.006833401667350007
2022-10-18,USD,0.9835,1.0167768174885612
2022-10-18,JPY,146.65,0.006818956699624957
2022-10-17,USD,0.9739,1.0267994660642776
2022-10-17,JPY,145.0,0.006896551724137931
2022-10-14,USD,0.9717,1.0291242152927857
2022-10-14,JPY,143.63,0.0069623337742811394
2022-10-13,USD,0.9739,1.0267994660642776
2022-10-13,JPY,142.94,0.006995942353435008
2022-10-12,USD,0.9706,1.030290541932825
2022-10-12,JPY,142.34,0.00702543206407194
2022-10-11,USD,0.9723,1.0284891494394734
2022-10-11,JPY,141.54,0.007065140596297867
2022-10-10,USD,0.9697,1.0312467773538208
2022-10-10,JPY,141.16,0.007084159818645509
2022-10-07,USD,0.9797,1.0207206287639072
2022-10-07,JPY,141.92,0.007046223224351748
2022-10-06,USD,0.986,1.0141987829614605
2022-10-06,JPY,142.68,0.007008690776562938
2022-10-05,USD,0.9915,1.0085728693898133
2022-10-05,JPY,143.18,0.006984215672579969
2022-10-04,USD,0.9891,1.011020119300374
